"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction","immune_flag","luminal_flag","epithelial_flag","rank"
"DIO1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",9.49180649621615,3.48813793717888,47.0968907527123,6.5574107057908e-06,0.0077860310207576,"UP",FALSE,FALSE,FALSE,1
"LAPTM5","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",9.27480156787835,3.47917579957133,52.286669547922,3.3599250846349e-06,0.00487599794782404,"UP",TRUE,FALSE,FALSE,2
"PTPRC","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.9117429985571,3.31628836809687,24.9659880265294,0.000176077493076942,0.0216957371422448,"UP",TRUE,FALSE,FALSE,3
"IL7R","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.78989104595254,4.36893911484663,35.882325116658,5.27950583881546e-05,0.0153005002815531,"UP",TRUE,FALSE,FALSE,4
"MUCL1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.25473156822557,11.8227398180035,35.2610270601572,9.91855108963162e-05,0.0179925271918998,"UP",FALSE,FALSE,FALSE,5
"ATP6V0C","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.20734847272152,6.91238801891291,31.8878344825391,0.000152780187312295,0.0216862966117358,"UP",FALSE,FALSE,FALSE,6
"CYTIP","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",8.07533900099333,2.87845962528662,31.5006963376221,6.94018080612314e-05,0.0171029625488253,"UP",FALSE,FALSE,FALSE,7
"GPR183","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",7.43276172683135,1.95971123141511,22.9802763245538,0.000289279940335168,0.02631250909761,"UP",FALSE,FALSE,FALSE,8
"CYSLTR1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",7.21354041551823,3.10015046494832,29.9093978602984,0.000134695363397639,0.0206475065729336,"UP",FALSE,FALSE,FALSE,9
"LRRC26","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",7.1723817430159,6.6730105374099,41.335367033815,5.01713842251088e-05,0.0153005002815531,"UP",FALSE,FALSE,FALSE,10
"PNMT","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.94289774830707,5.09955790941858,25.7383039958941,0.000362668356758653,0.0280284698676022,"UP",FALSE,FALSE,FALSE,11
"CTB-131K11.1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.90851809199601,2.84364592745144,24.2782433622878,0.000336661685856518,0.0275244246703883,"UP",FALSE,FALSE,FALSE,12
"ALB","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.52148246346892,0.0287359618399096,38.4612719012353,1.77468052660129e-05,0.0139684146224573,"UP",FALSE,FALSE,FALSE,13
"NR4A3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.48164989004154,2.6670816489037,40.7398393354858,4.01389374811442e-05,0.0146697251146926,"UP",FALSE,FALSE,FALSE,14
"CD7","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.39832172795219,3.35009648117462,23.9197082960989,0.000457918800313348,0.0310495892773466,"UP",TRUE,FALSE,FALSE,15
"PGAP3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.3476753675934,6.2143941404249,29.1353054421183,0.000221829557832479,0.0237725457013863,"UP",FALSE,FALSE,FALSE,16
"MNX1-AS1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.3109243274926,2.00722606595923,29.7540743668437,0.0001264872933903,0.0201469577923256,"UP",FALSE,FALSE,FALSE,17
"CD8B","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.2546334875182,0.549211764932507,29.2986082986715,7.63813809494343e-05,0.0175592481613378,"UP",TRUE,FALSE,FALSE,18
"CD37","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",6.14117965212392,2.72694823180656,18.7068974303592,0.00113083425986553,0.0422138057897841,"UP",TRUE,FALSE,FALSE,19
"LINC00675","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.96071473352754,2.56968433436275,23.9714083946714,0.000420002396085267,0.029963614190183,"UP",FALSE,FALSE,FALSE,20
"AC005013.5","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.91592250696325,-0.128973814613464,54.7929603405488,1.96614421754172e-06,0.00459794992152523,"UP",FALSE,FALSE,FALSE,21
"SPOCK2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.84904350819097,2.01613446796946,25.4315730410871,0.000312714695770088,0.0275244246703883,"UP",FALSE,FALSE,FALSE,22
"SRPK3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.68825208804771,0.785084725842662,71.9276602180333,7.73581702950332e-07,0.00459794992152523,"UP",FALSE,FALSE,FALSE,23
"MT-ATP8","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.60682574038897,9.73203108529877,18.3484378540711,0.00130280259369881,0.0445468061448864,"UP",FALSE,FALSE,FALSE,24
"ATP13A4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.5976286704654,1.81738652212571,36.3679911204176,6.24359095570021e-05,0.0159897140141962,"UP",FALSE,FALSE,FALSE,25
"DLX2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.56127029628191,1.82504414760481,31.0123837148034,0.000129900026078569,0.0201979076263357,"UP",FALSE,FALSE,FALSE,26
"CLIC3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.52032877799477,5.62174886574857,32.1032213092209,0.000148440554885069,0.021542023192821,"UP",FALSE,FALSE,FALSE,27
"ABCC4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.51280639991348,3.48747667741083,17.8039080124423,0.00144479665289038,0.0454283676219455,"UP",FALSE,FALSE,FALSE,28
"NR4A1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.4628453121319,6.63972916065688,109.64531200959,4.84626301718482e-07,0.00459794992152523,"UP",FALSE,FALSE,FALSE,29
"CD8A","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.43623298289459,-0.0759809459673022,24.3754540513612,0.000200492104852118,0.0231636525653445,"UP",TRUE,FALSE,FALSE,30
"ERBB2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.41878776428276,8.90307811976041,25.4609468209115,0.000379128731391727,0.0283991477391347,"UP",FALSE,FALSE,FALSE,31
"BCAS1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.39471848583032,2.96060050426202,32.4838550920397,0.000135953262787864,0.0206475065729336,"UP",FALSE,FALSE,FALSE,32
"HCLS1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.36420522849713,0.401353049551327,25.2777142655144,0.000231371716858848,0.0237948503456174,"UP",FALSE,FALSE,FALSE,33
"MTRNR2L12","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.31511754842266,8.69217519475637,31.2708006971722,0.00016467316173976,0.0216862966117358,"UP",FALSE,FALSE,FALSE,34
"TMEM86A","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.27058748240092,4.03874344173362,30.6845068671426,0.000179877681655691,0.0219568448607942,"UP",FALSE,FALSE,FALSE,35
"CREB3L1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.24892970162203,4.7566476882153,28.9119926595141,0.000229471550221089,0.0237948503456174,"UP",FALSE,FALSE,FALSE,36
"HOXB6","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.2347488702198,3.52081103544895,24.9216063734581,0.000413689681350948,0.029963614190183,"UP",FALSE,FALSE,FALSE,37
"ANXA2R","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.19742137094703,1.82275028922779,33.5693968829518,0.000100967111323518,0.0180648142602256,"UP",FALSE,FALSE,FALSE,38
"PPP1R1A","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.1274289604826,3.63897962287404,31.1279372334658,0.000169172643890099,0.0216862966117358,"UP",FALSE,FALSE,FALSE,39
"MARC1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.1273176111778,3.04371641500125,37.4260140723883,7.58832018553267e-05,0.0175592481613378,"UP",FALSE,FALSE,FALSE,40
"GLYATL1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.9899501321455,2.28450942335075,22.6151336506946,0.000573250429568259,0.0328521049934423,"UP",FALSE,FALSE,FALSE,41
"ATP6V0A4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.96852912704569,1.79242152239413,61.3148752395305,6.46144110113587e-06,0.0077860310207576,"UP",FALSE,FALSE,FALSE,42
"SHISA9","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.94955065639153,1.51379280487487,29.1483750639072,0.00018233967170763,0.0220512819645681,"UP",FALSE,FALSE,FALSE,43
"LFNG","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.94594499842503,1.45673441607055,22.4850810437094,0.000518274355869272,0.0320814282559647,"UP",FALSE,FALSE,FALSE,44
"OSR2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.87466320603943,3.32135319467965,18.7780047463837,0.00120393468276702,0.0431550528331124,"UP",FALSE,FALSE,FALSE,45
"CAMK1D","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.87135222221973,4.3970723741679,22.7838473784773,0.000588464416742509,0.0329222258042064,"UP",FALSE,FALSE,FALSE,46
